X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,magnitude
0.05050505,2.1414142,-0.0028356388,0.0010289773,-14.460573,46.681652,-9.137432,0.0030165613
0.05050505,2.1818182,-0.0028096028,0.0011620037,-14.115275,49.619682,-9.416015,0.0030404145
0.05050505,2.2222223,-0.002772916,0.0013018083,-13.8807535,52.41314,-9.671239,0.0030632939
0.05050505,2.2626262,-0.00272521,0.0014480529,-13.751486,55.04945,-9.902322,0.0030860372
0.05050505,2.3030303,-0.0026660599,0.0016004052,-13.721394,57.517075,-10.108476,0.0031095291
0.05050505,2.3434343,-0.0025950484,0.0017586974,-13.782609,59.806522,-10.289727,0.0031348513
0.05050505,2.3838384,-0.0025119595,0.0019224957,-13.9259,61.90981,-10.446132,0.003163215
0.05050505,2.4242425,-0.0024164766,0.002091351,-14.142239,63.81969,-10.578072,0.0031957955
0.05050505,2.4646466,-0.0023084655,0.0022649318,-14.421295,65.53067,-10.686242,0.0032340267
0.05050505,2.5050504,-0.0021877214,0.0024427325,-14.752277,67.03898,-10.771323,0.003279187
0.05050505,2.5454545,-0.0020539053,0.0026244223,-15.124516,68.34159,-10.834368,0.0033325846
0.05050505,2.5858586,-0.0019071288,0.0028093755,-15.52724,69.43666,-10.876299,0.0033955458
0.05050505,2.6262627,-0.0017471686,0.002997256,-15.949304,70.32405,-10.898497,0.0034693142
0.05050505,2.6666667,-0.0015740134,0.0031875297,-16.38024,71.00444,-10.901874,0.0035549772
0.05050505,2.7070708,-0.0013876855,0.00337963,-16.809162,71.47973,-10.887953,0.0036534325
0.05050505,2.7474747,-0.0011881217,0.0035730796,-17.226028,71.75246,-10.857912,0.0037654391
0.05050505,2.7878788,-0.00097548217,0.0037673991,-17.620981,71.826485,-10.812913,0.0038916399
0.05050505,2.8282828,-0.00074963644,0.003962037,-17.984962,71.70637,-10.75428,0.004032331
0.05050505,2.868687,-0.0005107559,0.0041565374,-18.308876,71.39732,-10.683012,0.004187801
0.05050505,2.909091,-0.00025895238,0.004350312,-18.584818,70.90543,-10.600545,0.004358012
0.05050505,2.9494948,5.658716e-06,0.004543063,-18.804386,70.23757,-10.507927,0.004543067
0.05050505,2.989899,0.00028293952,0.0047340104,-18.961044,69.40086,-10.406242,0.0047424585
0.05050505,3.030303,0.00057278946,0.0049229097,-19.047398,68.403435,-10.29647,0.00495612
0.05050505,3.070707,0.0008750297,0.005109256,-19.057789,67.25346,-10.179875,0.005183645
0.05050505,3.1111112,0.0011894219,0.005292507,-18.98546,65.95994,-10.057284,0.005424514
0.05050505,3.1515152,0.0015159585,0.0054723797,-18.826328,64.53153,-9.929718,0.005678474
0.05050505,3.191919,0.0018543974,0.0056482702,-18.574131,62.978096,-9.798037,0.0059448923
0.05050505,3.2323232,0.0022044778,0.0058199773,-18.225601,61.308956,-9.6632595,0.0062234923
0.05050505,3.2727273,0.0025661401,0.0059870323,-17.775805,59.53412,-9.526285,0.0065138033
0.05050505,3.3131313,0.0029391237,0.00614909,-17.221712,57.663273,-9.387823,0.006815406
0.05050505,3.3535354,0.0033231974,0.0063057756,-16.559376,55.706467,-9.248947,0.0071278643
0.05050505,3.3939395,0.0037182644,0.006456868,-15.786365,53.67376,-9.110307,0.0074509485
0.05050505,3.4343433,0.004124049,0.0066020386,-14.89932,51.575256,-8.972822,0.0077842595
0.05050505,3.4747474,0.004540514,0.0067408755,-13.895022,49.42105,-8.837341,0.008127464
0.05050505,3.5151515,0.0049673207,0.0068733916,-12.773161,47.21993,-8.704412,0.008480436
0.05050505,3.5555556,0.005404327,0.0069991667,-11.530605,44.98264,-8.575068,0.008842799
0.05050505,3.5959597,0.005851295,0.007118077,-10.165406,42.71822,-8.449818,0.009214373
0.05050505,3.6363637,0.006308105,0.007229874,-8.67665,40.435894,-8.329554,0.00959496
0.05050505,3.6767676,0.006774593,0.0073344447,-7.062435,38.144604,-8.215146,0.009984448
0.05050505,3.7171717,0.007250618,0.0074316803,-5.3221426,35.853024,-8.106827,0.010382743
0.05050505,3.7575758,0.0077358596,0.007521373,-3.455552,33.56899,-8.005362,0.010789559
0.05050505,3.7979798,0.008230235,0.007603474,-1.4606473,31.301546,-7.9114046,0.011204891
0.05050505,3.838384,0.008733515,0.007677826,0.6624927,29.057867,-7.825871,0.011628555
0.05050505,3.878788,0.009245623,0.007744521,2.9131982,26.844751,-7.748624,0.012060644
0.05050505,3.9191918,0.009766299,0.0078033144,5.2930083,24.670012,-7.680811,0.012500892
0.05050505,3.959596,0.010295447,0.007854318,7.8007007,22.539467,-7.622422,0.012949384
0.05050505,4.0,0.010832686,0.007897427,10.43606,20.459347,-7.574199,0.013405836
0.1010101,0.04040404,-0.00042065233,0.00017958507,-0.15221226,-4.114338,-1.7256956,0.00045738296
0.1010101,0.08080808,-0.00040057302,0.0001697503,-1.197774,-4.4514136,-2.8922455,0.00043505622
0.1010101,0.121212125,-0.00038893893,0.00016025454,-2.3610477,-4.8528156,-3.9568791,0.00042066022
0.1010101,0.16161616,-0.00038536265,0.00015096366,-3.6414776,-5.320899,-4.917942,0.00041387728
0.1010101,0.2020202,-0.000389304,0.00014185347,-5.0337276,-5.8551435,-5.774891,0.00041434288
0.1010101,0.24242425,-0.0004002154,0.00013282523,-6.533019,-6.455465,-6.5277514,0.00042168103
0.1010101,0.28282827,-0.00041778386,0.00012389198,-8.131251,-7.1198354,-7.1771984,0.00043576665
0.1010101,0.32323232,-0.00044144318,0.00011494383,-9.819171,-7.845179,-7.724891,0.00045616244
0.1010101,0.36363637,-0.0004706569,0.00010601804,-11.585375,-8.626993,-8.1732235,0.00048244972
0.1010101,0.4040404,-0.00050504133,9.696931e-05,-13.417181,-9.459827,-8.525067,0.00051426626
0.1010101,0.44444445,-0.00054421276,8.782931e-05,-15.299732,-10.335916,-8.784674,0.0005512545
0.1010101,0.4848485,-0.0005877875,7.847883e-05,-17.218117,-11.247793,-8.956693,0.0005930034
0.1010101,0.5252525,-0.00063525885,6.8863854e-05,-19.155298,-12.185014,-9.046407,0.0006389805
0.1010101,0.56565654,-0.00068634376,5.890429e-05,-21.093605,-13.137041,-9.059969,0.0006888668
0.1010101,0.6060606,-0.00074066967,4.8775226e-05,-23.015055,-14.09139,-9.004137,0.0007422739
0.1010101,0.64646465,-0.0007979721,3.8245693e-05,-24.9001,-15.034483,-8.8864355,0.0007988881
0.1010101,0.68686867,-0.00085793063,2.7401373e-05,-26.730297,-15.952073,-8.71441,0.0008583681
0.1010101,0.72727275,-0.0009202771,1.616776e-05,-28.48692,-16.829702,-8.496388,0.0009204191
0.1010101,0.7676768,-0.0009848028,4.6901405e-06,-30.151556,-17.651016,-8.240499,0.000984814
0.1010101,0.8080808,-0.0010512024,-6.949529e-06,-31.70613,-18.40003,-7.955825,0.0010512254
0.1010101,0.8484849,-0.0011193976,-1.8810853e-05,-33.134373,-19.060452,-7.6510553,0.0011195557
0.1010101,0.8888889,-0.0011891015,-3.0769035e-05,-34.421078,-19.616335,-7.3344307,0.0011894995
0.1010101,0.9292929,-0.0012602434,-4.262291e-05,-35.552494,-20.051495,-7.0146327,0.001260964
0.1010101,0.969697,-0.0013326332,-5.427189e-05,-36.51672,-20.351027,-6.6998615,0.0013337379
0.1010101,1.010101,-0.0014060922,-6.560609e-05,-37.304264,-20.499971,-6.39791,0.0014076219
0.1010101,1.050505,-0.001480516,-7.635355e-05,-37.907745,-20.485495,-6.115767,0.0014824836
0.1010101,1.0909091,-0.0015558116,-8.62889e-05,-38.321327,-20.294676,-5.8603635,0.0015582027
0.1010101,1.1313131,-0.0016318485,-9.523332e-05,-38.543217,-19.917492,-5.6374035,0.001634625
0.1010101,1.1717172,-0.001708366,-0.00010288507,-38.57376,-19.345352,-5.451993,0.0017114613
0.1010101,1.2121212,-0.0017853491,-0.00010894053,-38.41544,-18.571278,-5.308367,0.0017886697
0.1010101,1.2525252,-0.0018624701,-0.00011313334,-38.074223,-17.5906,-5.2096953,0.001865903
0.1010101,1.2929293,-0.0019396618,-0.000115087256,-37.557148,-16.400135,-5.1589003,0.001943073
0.1010101,1.3333334,-0.0020166487,-0.00011448376,-36.875042,-14.999945,-5.156985,0.0020198957
0.1010101,1.3737373,-0.0020932443,-0.00011101365,-36.04121,-13.392524,-5.204692,0.002096186
0.1010101,1.4141414,-0.0021690764,-0.00010431558,-35.06914,-11.58127,-5.3014917,0.0021715832
0.1010101,1.4545455,-0.0022440292,-9.403005e-05,-33.97567,-9.573228,-5.446397,0.0022459985
0.1010101,1.4949495,-0.0023175292,-7.977523e-05,-32.778847,-7.3769093,-5.637152,0.0023189017
0.1010101,1.5353535,-0.0023893453,-6.1210245e-05,-31.49772,-5.0034714,-5.8709,0.0023901293
0.1010101,1.5757576,-0.0024591498,-3.8024038e-05,-30.151464,-2.4653044,-6.144486,0.0024594436
0.1010101,1.6161616,-0.0025263503,-9.838492e-06,-28.7608,0.22275175,-6.4534745,0.0025263694
0.1010101,1.6565657,-0.0025906377,2.3651868e-05,-27.345667,3.0449226,-6.7936993,0.0025907457
